Location,Soil_Type,Fertility_Index,Land_Use_Type,Average_Rainfall(mm),Temperature(°C),Crop_Suitability,Season,Satellite_Observation_Date,Remarks
Barishal,Peaty,41,Residential,70,31.2,Vegetables,Summer,2024-06-23,High potential
Rangpur,Loamy,54,Unused,300,28.7,Rice,Autumn,2024-05-01,Low potential
Barishal,Sandy,67,Agricultural,234,28.0,Wheat,Summer,2024-10-10,High potential
Rajshahi,Sandy,73,Residential,154,21.4,Rice,Monsoon,2024-10-22,Requires attention
Chattogram,Sandy,84,Residential,183,29.5,Jute,Summer,2024-06-08,Requires attention
Sylhet,Loamy,47,Barren,64,21.8,Jute,Winter,2024-02-05,Low potential
Rajshahi,Clay,99,Unused,324,30.7,Rice,Autumn,2024-04-05,Moderate potential
Chattogram,Clay,74,Unused,376,22.0,Tea,Monsoon,2024-02-13,Requires attention
Khulna,Sandy,62,Unused,119,23.0,Spices,Winter,2024-09-09,Requires attention
Barishal,Loamy,74,Agricultural,144,33.2,Jute,Monsoon,2024-03-24,Moderate potential
Barishal,Sandy,82,Agricultural,345,26.1,Maize,Autumn,2024-04-23,Moderate potential
Mymensingh,Silt,61,Barren,225,21.9,Tea,Monsoon,2024-11-09,Moderate potential
Rangpur,Silt,63,Unused,195,21.9,Tea,Monsoon,2024-11-03,Requires attention
Chattogram,Clay,45,Unused,280,22.0,Spices,Winter,2024-09-26,Low potential
Sylhet,Sandy,93,Unused,336,28.8,Spices,Autumn,2024-12-13,Requires attention
Rangpur,Peaty,98,Residential,344,31.9,Jute,Autumn,2024-08-03,High potential
Chattogram,Clay,81,Unused,81,27.6,Spices,Autumn,2024-01-08,High potential
Rangpur,Loamy,57,Residential,132,28.8,Spices,Monsoon,2024-10-16,Moderate potential
Dhaka,Silt,79,Agricultural,62,28.3,Wheat,Summer,2024-04-15,High potential
Chattogram,Peaty,90,Barren,371,21.7,Wheat,Autumn,2024-01-21,Moderate potential
Barishal,Peaty,94,Residential,286,25.9,Tea,Autumn,2024-09-27,Moderate potential
Khulna,Loamy,100,Agricultural,84,22.2,Jute,Winter,2024-09-16,High potential
Barishal,Peaty,81,Agricultural,213,29.5,Vegetables,Summer,2024-09-04,High potential
Rangpur,Peaty,83,Barren,319,26.8,Spices,Summer,2024-10-11,High potential
Rajshahi,Silt,75,Barren,258,26.4,Jute,Winter,2024-03-26,Low potential
Rajshahi,Loamy,57,Residential,244,30.5,Wheat,Monsoon,2024-10-17,Low potential
Khulna,Silt,71,Agricultural,145,32.9,Rice,Summer,2024-05-06,Low potential
Mymensingh,Loamy,91,Residential,83,23.8,Spices,Winter,2024-10-25,Requires attention
Rangpur,Peaty,72,Unused,350,23.3,Jute,Monsoon,2024-08-14,Requires attention
Dhaka,Clay,98,Barren,337,20.4,Tea,Summer,2024-09-04,Requires attention
Chattogram,Loamy,96,Barren,131,31.3,Rice,Autumn,2024-06-26,Requires attention
Rangpur,Peaty,90,Unused,219,25.1,Vegetables,Summer,2024-10-06,Requires attention
Barishal,Sandy,63,Residential,81,24.3,Spices,Winter,2024-08-27,Low potential
Sylhet,Loamy,67,Unused,284,21.0,Vegetables,Winter,2024-07-17,High potential
Sylhet,Sandy,54,Agricultural,399,25.9,Vegetables,Autumn,2024-08-01,Low potential
Mymensingh,Sandy,92,Agricultural,244,20.8,Maize,Winter,2024-02-06,Moderate potential
Sylhet,Clay,90,Unused,263,34.9,Spices,Monsoon,2024-09-10,Requires attention
Rangpur,Sandy,53,Residential,62,33.4,Jute,Summer,2024-08-25,Low potential
Sylhet,Peaty,81,Unused,281,27.3,Jute,Monsoon,2024-08-06,Requires attention
Khulna,Peaty,61,Unused,321,23.6,Maize,Autumn,2024-08-07,High potential
Mymensingh,Clay,50,Barren,338,28.5,Spices,Autumn,2024-12-19,Requires attention
Barishal,Sandy,48,Barren,318,29.3,Tea,Summer,2024-08-08,Low potential
Khulna,Sandy,78,Barren,61,25.4,Jute,Winter,2024-01-20,Requires attention
Dhaka,Loamy,92,Barren,164,30.1,Maize,Monsoon,2024-06-13,High potential
Chattogram,Peaty,55,Unused,118,30.6,Jute,Monsoon,2024-04-20,High potential
Sylhet,Peaty,42,Residential,75,23.0,Jute,Autumn,2024-01-06,Requires attention
Khulna,Silt,54,Unused,77,21.0,Rice,Monsoon,2024-11-26,Moderate potential
Dhaka,Sandy,75,Residential,89,22.2,Jute,Winter,2024-10-16,Requires attention
Rajshahi,Loamy,57,Barren,233,27.5,Spices,Summer,2024-04-05,Moderate potential
Chattogram,Clay,91,Residential,296,23.1,Maize,Summer,2024-07-13,High potential
Sylhet,Sandy,45,Residential,291,29.5,Tea,Winter,2024-03-01,Low potential
Chattogram,Loamy,87,Residential,393,34.0,Wheat,Monsoon,2024-09-10,Low potential
Mymensingh,Peaty,77,Agricultural,350,30.7,Rice,Autumn,2024-04-01,Low potential
Rangpur,Silt,94,Barren,248,30.9,Jute,Summer,2024-12-24,Moderate potential
Sylhet,Clay,51,Agricultural,347,21.5,Tea,Monsoon,2024-04-15,High potential
Khulna,Peaty,97,Residential,396,20.7,Spices,Autumn,2024-07-15,High potential
Rajshahi,Silt,58,Unused,365,29.9,Tea,Monsoon,2024-07-31,Low potential
Rajshahi,Clay,49,Agricultural,258,33.4,Rice,Winter,2024-10-23,Moderate potential
Chattogram,Clay,64,Barren,339,31.7,Vegetables,Summer,2024-03-23,High potential
Rangpur,Peaty,40,Barren,77,20.8,Jute,Monsoon,2024-08-29,High potential
Rajshahi,Silt,55,Unused,177,29.7,Rice,Winter,2024-10-12,Low potential
Khulna,Sandy,60,Barren,237,28.1,Vegetables,Autumn,2024-09-16,Low potential
Rangpur,Clay,90,Agricultural,292,20.4,Vegetables,Autumn,2024-08-16,High potential
Rajshahi,Peaty,91,Unused,121,23.5,Jute,Summer,2024-04-30,Moderate potential
Chattogram,Clay,76,Unused,390,31.2,Maize,Autumn,2024-11-24,Low potential
Dhaka,Loamy,80,Agricultural,245,33.2,Vegetables,Summer,2024-10-10,Low potential
Sylhet,Loamy,46,Residential,111,30.3,Jute,Winter,2024-08-09,Low potential
Rajshahi,Sandy,98,Unused,201,31.2,Rice,Monsoon,2024-01-07,Low potential
Sylhet,Silt,71,Unused,225,28.1,Wheat,Autumn,2024-01-09,Requires attention
Rangpur,Sandy,88,Unused,273,33.4,Rice,Autumn,2024-11-26,Moderate potential
Dhaka,Peaty,97,Unused,129,20.1,Wheat,Summer,2024-12-08,Low potential
Khulna,Silt,75,Agricultural,290,28.3,Wheat,Summer,2024-12-07,Requires attention
Rangpur,Silt,74,Barren,125,24.9,Jute,Summer,2024-02-11,Moderate potential
Sylhet,Clay,76,Unused,190,21.9,Spices,Winter,2024-03-11,Low potential
Sylhet,Loamy,48,Agricultural,51,33.8,Rice,Summer,2024-11-18,Low potential
Sylhet,Clay,53,Unused,395,23.2,Rice,Winter,2024-06-08,High potential
Sylhet,Loamy,67,Unused,109,28.0,Maize,Winter,2024-04-20,Low potential
Dhaka,Loamy,74,Barren,397,26.7,Spices,Autumn,2024-10-08,Low potential
Chattogram,Loamy,99,Barren,313,33.7,Vegetables,Summer,2024-05-05,Moderate potential
Khulna,Peaty,69,Residential,145,23.1,Vegetables,Winter,2024-08-25,High potential
Dhaka,Silt,96,Unused,77,22.3,Vegetables,Winter,2024-04-05,Low potential
Rangpur,Sandy,73,Residential,244,22.4,Maize,Winter,2024-07-30,Low potential
Chattogram,Peaty,81,Residential,379,30.5,Vegetables,Summer,2024-05-24,Moderate potential
Sylhet,Silt,93,Agricultural,57,20.5,Tea,Monsoon,2024-05-14,High potential
Khulna,Peaty,77,Agricultural,328,23.6,Jute,Monsoon,2024-07-16,Requires attention
Chattogram,Peaty,81,Unused,194,34.2,Wheat,Summer,2024-08-26,Moderate potential
Mymensingh,Peaty,43,Agricultural,371,24.1,Wheat,Monsoon,2024-12-04,High potential
Sylhet,Silt,85,Residential,228,25.9,Tea,Summer,2024-03-12,High potential
Khulna,Loamy,74,Barren,171,23.7,Wheat,Summer,2024-03-11,Low potential
Rajshahi,Peaty,89,Residential,305,26.3,Maize,Summer,2024-12-17,Low potential
Rangpur,Loamy,41,Residential,222,24.0,Jute,Summer,2024-06-25,High potential
Rangpur,Clay,90,Residential,133,30.0,Wheat,Monsoon,2024-05-22,Low potential
Rangpur,Sandy,61,Residential,236,26.2,Wheat,Summer,2024-07-30,Moderate potential
Mymensingh,Silt,62,Barren,173,24.8,Rice,Winter,2024-06-07,Requires attention
Rangpur,Sandy,82,Unused,57,22.7,Rice,Autumn,2024-05-19,High potential
Khulna,Loamy,90,Agricultural,134,31.7,Maize,Summer,2024-04-14,Low potential
Sylhet,Peaty,84,Barren,266,21.7,Tea,Summer,2024-01-19,Moderate potential
Chattogram,Silt,57,Agricultural,280,21.0,Maize,Summer,2024-12-15,High potential
Barishal,Loamy,68,Residential,245,26.6,Spices,Autumn,2024-08-06,Moderate potential
Sylhet,Clay,71,Unused,171,32.0,Spices,Summer,2024-08-09,Moderate potential
Khulna,Peaty,59,Unused,209,32.2,Jute,Autumn,2024-08-20,Low potential
Mymensingh,Silt,50,Agricultural,233,32.3,Tea,Autumn,2024-08-23,High potential
Chattogram,Loamy,68,Unused,323,20.2,Maize,Winter,2024-07-02,Low potential
Dhaka,Peaty,97,Unused,134,26.6,Spices,Autumn,2024-04-08,Low potential
Khulna,Loamy,91,Unused,162,31.4,Vegetables,Autumn,2024-04-19,Low potential
Barishal,Peaty,42,Unused,389,25.7,Maize,Summer,2024-08-26,Low potential
Mymensingh,Sandy,77,Unused,323,26.1,Maize,Summer,2024-07-06,Requires attention
Mymensingh,Loamy,96,Residential,187,26.7,Tea,Monsoon,2024-09-11,High potential
Chattogram,Loamy,85,Agricultural,70,21.7,Rice,Winter,2024-10-23,Requires attention
Mymensingh,Sandy,83,Unused,305,22.0,Maize,Monsoon,2024-11-08,Requires attention
Rangpur,Silt,44,Unused,244,28.6,Jute,Autumn,2024-09-30,Requires attention
Dhaka,Loamy,70,Unused,82,26.8,Tea,Monsoon,2024-06-26,Low potential
Barishal,Sandy,45,Unused,330,24.1,Wheat,Summer,2024-04-24,Low potential
Chattogram,Silt,41,Barren,70,26.3,Wheat,Autumn,2024-10-01,Low potential
Chattogram,Sandy,67,Residential,86,22.6,Rice,Winter,2024-02-24,Low potential
Rangpur,Loamy,86,Agricultural,369,26.4,Rice,Autumn,2024-08-01,Low potential
Dhaka,Sandy,62,Unused,157,28.6,Tea,Winter,2024-02-24,Requires attention
Rajshahi,Peaty,68,Unused,354,27.6,Spices,Monsoon,2024-11-11,Low potential
Rangpur,Loamy,64,Unused,367,22.0,Wheat,Autumn,2024-09-24,High potential
Rajshahi,Silt,42,Unused,99,34.4,Wheat,Summer,2024-07-02,High potential
Dhaka,Peaty,67,Unused,78,30.7,Wheat,Summer,2024-09-02,Low potential
Barishal,Peaty,49,Barren,259,26.0,Vegetables,Summer,2024-02-08,Requires attention
Khulna,Clay,60,Barren,390,23.2,Maize,Monsoon,2024-10-19,High potential
Chattogram,Peaty,84,Unused,385,29.3,Tea,Autumn,2024-02-13,Requires attention
Dhaka,Silt,47,Agricultural,319,30.5,Rice,Summer,2024-06-30,Low potential
Rangpur,Loamy,93,Unused,294,22.8,Maize,Summer,2024-08-27,Moderate potential
Dhaka,Silt,40,Barren,392,22.8,Rice,Winter,2024-09-09,High potential
Khulna,Peaty,92,Barren,86,21.2,Tea,Monsoon,2024-11-30,Low potential
Rangpur,Loamy,44,Unused,99,27.3,Spices,Monsoon,2024-09-28,High potential
Mymensingh,Sandy,96,Residential,99,31.2,Spices,Autumn,2024-11-14,High potential
Khulna,Sandy,66,Unused,273,23.7,Jute,Summer,2024-04-24,Moderate potential
Rangpur,Peaty,41,Unused,354,29.1,Spices,Summer,2024-06-30,High potential
Rangpur,Sandy,92,Barren,294,30.9,Wheat,Monsoon,2024-06-08,Moderate potential
Khulna,Sandy,72,Unused,326,34.0,Vegetables,Summer,2024-09-21,Moderate potential
Rangpur,Clay,58,Unused,115,22.1,Jute,Summer,2024-10-26,Requires attention
Khulna,Peaty,78,Agricultural,393,20.8,Rice,Winter,2024-06-15,High potential
Barishal,Peaty,44,Barren,289,23.5,Rice,Autumn,2024-07-07,Low potential
Sylhet,Silt,55,Agricultural,245,29.4,Maize,Autumn,2024-02-06,Requires attention
Rangpur,Loamy,64,Residential,224,30.1,Spices,Winter,2024-10-26,Moderate potential
Barishal,Silt,87,Unused,271,27.9,Rice,Summer,2024-09-04,Requires attention
Mymensingh,Peaty,98,Barren,329,33.8,Tea,Monsoon,2024-02-18,Requires attention
Mymensingh,Silt,70,Agricultural,150,30.8,Vegetables,Winter,2024-04-12,Moderate potential
Khulna,Peaty,64,Agricultural,296,29.6,Tea,Monsoon,2024-12-08,Requires attention
Barishal,Peaty,81,Unused,342,31.1,Jute,Monsoon,2024-05-20,Moderate potential
Khulna,Silt,49,Agricultural,361,28.5,Spices,Autumn,2024-03-08,Moderate potential
Sylhet,Sandy,83,Residential,58,26.2,Spices,Autumn,2024-01-18,Moderate potential
Dhaka,Silt,88,Residential,78,34.6,Spices,Monsoon,2024-06-03,Moderate potential
Sylhet,Clay,98,Residential,138,24.1,Spices,Autumn,2024-12-08,Requires attention
Mymensingh,Peaty,41,Residential,135,28.9,Jute,Summer,2024-08-29,Requires attention
Rajshahi,Peaty,44,Residential,128,22.7,Maize,Monsoon,2024-01-20,Low potential
Rajshahi,Sandy,53,Unused,187,31.3,Tea,Winter,2024-02-04,Requires attention
Barishal,Peaty,60,Agricultural,368,27.6,Jute,Monsoon,2024-08-21,Requires attention
Khulna,Loamy,51,Barren,171,21.2,Maize,Winter,2024-11-09,Requires attention
Chattogram,Sandy,87,Residential,399,33.9,Tea,Autumn,2024-06-01,Low potential
Mymensingh,Sandy,73,Agricultural,247,22.8,Spices,Winter,2024-10-29,Low potential
Sylhet,Clay,100,Barren,249,28.0,Vegetables,Winter,2024-07-25,Requires attention
Rajshahi,Loamy,87,Unused,111,21.6,Wheat,Autumn,2024-05-07,Low potential
Rangpur,Clay,89,Unused,50,23.1,Wheat,Summer,2024-03-18,Requires attention
Barishal,Silt,64,Residential,200,20.0,Rice,Autumn,2024-07-03,Moderate potential
Barishal,Sandy,40,Unused,203,33.5,Maize,Autumn,2024-04-13,Moderate potential
Barishal,Sandy,47,Unused,133,25.0,Maize,Winter,2024-06-11,Moderate potential
Rangpur,Peaty,43,Unused,185,26.2,Jute,Autumn,2024-02-10,High potential
Sylhet,Peaty,90,Agricultural,189,34.2,Jute,Autumn,2024-05-06,Moderate potential
Sylhet,Peaty,54,Agricultural,282,21.6,Maize,Winter,2024-05-10,Low potential
Chattogram,Loamy,82,Unused,106,32.4,Tea,Winter,2024-07-22,Requires attention
Khulna,Sandy,96,Residential,79,22.7,Wheat,Winter,2024-10-26,High potential
Chattogram,Sandy,65,Unused,61,22.7,Wheat,Autumn,2024-06-07,High potential
Khulna,Silt,91,Barren,368,34.5,Tea,Summer,2024-11-06,Moderate potential
Mymensingh,Peaty,88,Unused,91,28.4,Rice,Summer,2024-12-29,Requires attention
Khulna,Clay,48,Residential,330,31.9,Rice,Autumn,2024-02-14,Moderate potential
Chattogram,Sandy,52,Agricultural,276,23.1,Maize,Autumn,2024-05-05,High potential
Rajshahi,Peaty,76,Residential,242,28.5,Wheat,Monsoon,2024-11-07,Moderate potential
Sylhet,Silt,73,Barren,305,22.1,Wheat,Summer,2024-11-01,Low potential
Sylhet,Peaty,65,Unused,85,29.1,Maize,Autumn,2024-07-19,Low potential
Khulna,Sandy,50,Residential,362,27.6,Vegetables,Winter,2024-06-02,Requires attention
Rangpur,Sandy,86,Unused,169,25.0,Spices,Winter,2024-06-03,High potential
Barishal,Loamy,76,Unused,385,28.7,Tea,Autumn,2024-01-25,Requires attention
Khulna,Silt,92,Residential,204,24.5,Maize,Summer,2024-10-25,Requires attention
Rangpur,Sandy,63,Barren,255,29.2,Jute,Summer,2024-01-02,High potential
Barishal,Silt,94,Agricultural,139,23.1,Jute,Autumn,2024-08-02,Moderate potential
Chattogram,Clay,43,Unused,96,24.0,Tea,Autumn,2024-01-11,Low potential
Mymensingh,Sandy,83,Residential,167,22.9,Rice,Autumn,2024-07-28,High potential
Barishal,Loamy,49,Agricultural,158,23.7,Spices,Monsoon,2024-09-08,Low potential
Khulna,Clay,49,Agricultural,241,29.6,Tea,Winter,2024-07-02,Low potential
Sylhet,Sandy,64,Unused,66,31.7,Jute,Summer,2024-09-26,Low potential
Sylhet,Sandy,49,Residential,371,24.1,Wheat,Monsoon,2024-08-12,Moderate potential
Barishal,Loamy,72,Residential,186,22.7,Tea,Autumn,2024-07-09,High potential
Rangpur,Loamy,53,Barren,82,24.7,Jute,Autumn,2024-08-21,Low potential
Sylhet,Sandy,47,Unused,204,26.6,Jute,Monsoon,2024-10-23,Moderate potential
Sylhet,Loamy,72,Residential,283,34.9,Rice,Monsoon,2024-11-15,Moderate potential
Mymensingh,Peaty,66,Barren,165,25.5,Tea,Winter,2024-04-05,Requires attention
Chattogram,Loamy,41,Agricultural,149,29.8,Jute,Summer,2024-02-10,Moderate potential
Barishal,Peaty,82,Residential,297,29.3,Tea,Winter,2024-07-30,Low potential
Mymensingh,Clay,76,Residential,324,27.0,Spices,Winter,2024-08-10,Low potential
Rajshahi,Peaty,72,Agricultural,238,29.0,Wheat,Winter,2024-11-16,Requires attention
Sylhet,Loamy,58,Barren,143,23.0,Spices,Summer,2024-07-16,High potential
Barishal,Peaty,53,Barren,381,28.2,Rice,Winter,2024-12-04,Moderate potential
Khulna,Silt,70,Barren,171,24.9,Maize,Monsoon,2024-09-01,Requires attention
Rangpur,Peaty,95,Agricultural,337,22.4,Vegetables,Winter,2024-08-02,Requires attention
Rajshahi,Sandy,69,Residential,242,29.6,Spices,Monsoon,2024-05-18,High potential
Rajshahi,Peaty,44,Unused,299,26.2,Vegetables,Autumn,2024-08-21,Requires attention
Dhaka,Clay,81,Unused,130,25.0,Rice,Winter,2024-10-24,Requires attention
Mymensingh,Sandy,58,Barren,301,22.5,Jute,Winter,2024-05-24,Moderate potential
Dhaka,Peaty,75,Residential,69,23.5,Jute,Summer,2024-10-14,Low potential
Rangpur,Peaty,97,Unused,278,32.6,Vegetables,Winter,2024-02-16,Requires attention
Dhaka,Silt,84,Residential,214,22.4,Rice,Summer,2024-09-09,Low potential
Sylhet,Sandy,55,Residential,221,34.7,Wheat,Autumn,2024-09-15,Requires attention
Chattogram,Clay,72,Unused,323,30.6,Jute,Winter,2024-01-10,High potential
Dhaka,Sandy,62,Residential,82,31.4,Tea,Monsoon,2024-05-15,Moderate potential
Rajshahi,Clay,95,Agricultural,348,22.2,Rice,Monsoon,2024-03-03,High potential
Mymensingh,Silt,88,Residential,193,34.0,Wheat,Summer,2024-08-28,High potential
Barishal,Clay,71,Barren,304,30.4,Jute,Autumn,2024-03-03,High potential
Mymensingh,Silt,45,Unused,348,24.9,Vegetables,Autumn,2024-04-28,Moderate potential
Mymensingh,Clay,88,Barren,274,21.2,Tea,Autumn,2024-11-28,Low potential
Khulna,Loamy,89,Agricultural,50,26.5,Maize,Winter,2024-04-21,Requires attention
Rangpur,Loamy,86,Residential,398,33.0,Rice,Winter,2024-03-17,Low potential
Rajshahi,Peaty,100,Agricultural,90,33.1,Jute,Monsoon,2024-01-08,High potential
Mymensingh,Loamy,69,Unused,293,26.1,Tea,Summer,2024-02-21,High potential
Dhaka,Clay,64,Unused,279,29.1,Maize,Summer,2024-04-23,High potential
Dhaka,Clay,83,Residential,317,32.7,Spices,Summer,2024-05-07,Moderate potential
Rangpur,Silt,63,Barren,202,27.2,Jute,Monsoon,2024-06-23,Requires attention
Dhaka,Sandy,74,Barren,399,29.8,Jute,Monsoon,2024-12-07,Moderate potential
Chattogram,Silt,93,Residential,58,30.0,Wheat,Monsoon,2024-12-04,Moderate potential
Sylhet,Sandy,84,Barren,170,21.6,Rice,Autumn,2024-05-28,Requires attention
Rangpur,Silt,95,Agricultural,326,24.3,Tea,Summer,2024-01-14,Low potential
Khulna,Sandy,78,Agricultural,86,31.9,Rice,Winter,2024-11-16,Low potential
Rangpur,Clay,62,Agricultural,400,33.5,Maize,Winter,2024-02-11,Moderate potential
Barishal,Sandy,78,Residential,277,20.6,Rice,Winter,2024-08-16,Low potential
Dhaka,Clay,83,Agricultural,73,26.3,Tea,Monsoon,2024-11-12,Requires attention
Barishal,Sandy,77,Unused,337,24.1,Wheat,Summer,2024-02-28,High potential
Barishal,Peaty,100,Agricultural,250,21.1,Maize,Summer,2024-10-29,Low potential
Rangpur,Silt,68,Barren,214,27.6,Spices,Summer,2024-02-27,Requires attention
Chattogram,Loamy,96,Barren,59,29.8,Jute,Autumn,2024-09-29,High potential
Barishal,Clay,44,Barren,61,28.7,Maize,Monsoon,2024-02-21,Moderate potential
Chattogram,Clay,60,Agricultural,380,34.3,Spices,Autumn,2024-05-19,Requires attention
Khulna,Clay,81,Barren,356,22.2,Jute,Monsoon,2024-06-19,Requires attention
Khulna,Silt,93,Unused,123,26.4,Jute,Winter,2024-09-08,Low potential
Khulna,Loamy,92,Residential,139,26.2,Spices,Winter,2024-11-29,High potential
Barishal,Sandy,42,Unused,105,22.9,Spices,Winter,2024-03-14,High potential
Chattogram,Silt,51,Agricultural,228,26.8,Jute,Monsoon,2024-01-12,Moderate potential
Mymensingh,Peaty,80,Unused,56,28.5,Wheat,Autumn,2024-06-07,Low potential
Rangpur,Silt,49,Agricultural,174,30.2,Maize,Summer,2024-08-05,Low potential
Khulna,Loamy,46,Barren,59,27.7,Spices,Winter,2024-01-31,Low potential
Sylhet,Loamy,49,Agricultural,371,28.2,Rice,Monsoon,2024-08-02,Requires attention
Rajshahi,Silt,92,Barren,118,25.1,Wheat,Summer,2024-06-04,Moderate potential
Rajshahi,Sandy,50,Residential,69,31.6,Tea,Monsoon,2024-12-16,Moderate potential
Mymensingh,Sandy,92,Residential,184,31.0,Vegetables,Autumn,2024-05-17,High potential
Barishal,Peaty,95,Unused,279,25.8,Jute,Summer,2024-06-12,High potential
Rajshahi,Peaty,64,Residential,193,20.0,Maize,Autumn,2024-03-23,Requires attention
Khulna,Silt,96,Unused,364,28.0,Jute,Summer,2024-12-17,Requires attention
Chattogram,Sandy,49,Unused,59,32.0,Spices,Monsoon,2024-06-14,Low potential
Chattogram,Silt,80,Agricultural,70,21.9,Rice,Winter,2024-06-13,Requires attention
Mymensingh,Silt,47,Barren,141,31.6,Jute,Summer,2024-09-20,Moderate potential
Khulna,Sandy,93,Unused,127,30.9,Vegetables,Summer,2024-07-23,High potential
Sylhet,Clay,71,Unused,215,26.7,Vegetables,Winter,2024-06-14,Requires attention
Sylhet,Clay,67,Agricultural,170,33.3,Wheat,Winter,2024-08-08,Requires attention
Barishal,Loamy,82,Barren,134,32.0,Jute,Monsoon,2024-10-17,Requires attention
Mymensingh,Clay,64,Agricultural,174,26.5,Wheat,Monsoon,2024-03-21,Moderate potential
Barishal,Sandy,99,Barren,62,33.7,Jute,Summer,2024-07-01,Requires attention
Khulna,Silt,48,Residential,79,20.4,Maize,Autumn,2024-11-01,Low potential
Rajshahi,Peaty,50,Unused,259,21.9,Wheat,Monsoon,2024-12-08,High potential
Barishal,Sandy,85,Residential,63,24.8,Wheat,Summer,2024-12-12,High potential
Dhaka,Peaty,65,Barren,88,33.9,Rice,Monsoon,2024-03-02,Low potential
Mymensingh,Loamy,83,Barren,300,31.2,Maize,Winter,2024-01-24,Low potential
Dhaka,Silt,69,Unused,186,34.3,Tea,Monsoon,2024-09-06,Requires attention
Rangpur,Clay,59,Barren,174,24.1,Vegetables,Summer,2024-06-08,Low potential
Rangpur,Silt,49,Agricultural,387,30.1,Spices,Autumn,2024-03-17,Moderate potential
Rajshahi,Sandy,55,Barren,252,30.1,Rice,Monsoon,2024-04-04,Requires attention
Rajshahi,Sandy,53,Agricultural,219,20.5,Vegetables,Winter,2024-07-08,High potential
Barishal,Silt,51,Unused,167,21.5,Tea,Summer,2024-06-23,Low potential
Rangpur,Peaty,91,Agricultural,78,22.1,Wheat,Winter,2024-12-16,Requires attention
Rangpur,Clay,81,Agricultural,279,32.9,Maize,Autumn,2024-02-23,Requires attention
Rajshahi,Clay,58,Residential,106,23.6,Jute,Monsoon,2024-05-23,Requires attention
Rajshahi,Loamy,40,Barren,223,29.2,Jute,Summer,2024-07-08,Moderate potential
Dhaka,Sandy,54,Unused,291,24.3,Rice,Summer,2024-08-15,Moderate potential
Chattogram,Silt,89,Residential,315,23.1,Jute,Summer,2024-10-17,High potential
Rajshahi,Loamy,62,Unused,372,25.1,Vegetables,Autumn,2024-02-07,Moderate potential
Sylhet,Clay,48,Unused,62,22.9,Vegetables,Winter,2024-07-07,Moderate potential
Sylhet,Loamy,84,Barren,152,31.7,Wheat,Summer,2024-09-16,Requires attention
Barishal,Silt,81,Barren,271,25.6,Wheat,Monsoon,2024-07-27,Requires attention
Rajshahi,Loamy,92,Unused,69,28.7,Jute,Summer,2024-03-28,Low potential
Dhaka,Peaty,54,Residential,187,29.9,Rice,Monsoon,2024-03-16,Moderate potential
Barishal,Peaty,68,Agricultural,67,23.8,Jute,Winter,2024-09-18,Moderate potential
Mymensingh,Clay,58,Barren,375,23.2,Maize,Monsoon,2024-10-26,Moderate potential
Chattogram,Clay,63,Barren,97,22.9,Maize,Monsoon,2024-08-16,Requires attention
Dhaka,Silt,66,Barren,70,32.4,Wheat,Autumn,2024-01-10,Requires attention
Rajshahi,Sandy,91,Agricultural,131,22.9,Wheat,Autumn,2024-03-30,Moderate potential
Barishal,Peaty,42,Unused,218,30.6,Spices,Winter,2024-05-04,Low potential
Barishal,Clay,86,Barren,183,27.4,Spices,Summer,2024-01-04,Low potential
Rajshahi,Peaty,88,Barren,326,23.5,Vegetables,Summer,2024-03-29,High potential
Dhaka,Silt,83,Unused,237,21.5,Spices,Autumn,2024-09-16,Requires attention
Mymensingh,Clay,76,Barren,221,24.5,Jute,Monsoon,2024-02-09,Low potential
Rajshahi,Clay,92,Unused,224,28.1,Rice,Autumn,2024-04-14,Moderate potential
Rangpur,Silt,78,Unused,140,24.2,Wheat,Autumn,2024-01-30,Requires attention
Khulna,Silt,73,Unused,57,27.5,Wheat,Winter,2024-10-22,Requires attention
Rajshahi,Silt,76,Unused,289,31.8,Wheat,Monsoon,2024-01-23,High potential
Chattogram,Sandy,84,Barren,201,28.0,Vegetables,Summer,2024-01-04,High potential
Mymensingh,Clay,100,Agricultural,138,26.4,Wheat,Summer,2024-08-06,High potential
Khulna,Peaty,49,Agricultural,177,25.7,Spices,Summer,2024-03-25,High potential
Rajshahi,Silt,47,Residential,132,31.4,Jute,Winter,2024-08-27,Requires attention
Chattogram,Silt,69,Barren,100,21.0,Spices,Monsoon,2024-09-04,Moderate potential
Rangpur,Clay,68,Residential,243,31.9,Jute,Monsoon,2024-03-23,Requires attention
Rangpur,Sandy,56,Residential,386,21.0,Jute,Winter,2024-10-07,Requires attention
Sylhet,Clay,42,Unused,132,32.4,Rice,Winter,2024-06-17,High potential
Dhaka,Clay,73,Agricultural,54,34.6,Maize,Autumn,2024-01-06,Low potential
Mymensingh,Peaty,49,Unused,180,21.5,Vegetables,Winter,2024-10-09,Low potential
Khulna,Sandy,54,Barren,344,21.0,Jute,Winter,2024-12-29,High potential
Mymensingh,Clay,94,Residential,221,24.9,Vegetables,Autumn,2024-07-03,Requires attention
Mymensingh,Silt,65,Barren,360,23.8,Tea,Summer,2024-09-16,Moderate potential
Rajshahi,Sandy,96,Unused,310,22.6,Wheat,Summer,2024-05-12,Requires attention
Barishal,Silt,87,Agricultural,268,26.9,Spices,Summer,2024-09-07,Requires attention
Mymensingh,Sandy,59,Agricultural,104,28.0,Spices,Monsoon,2024-05-10,Low potential
